Num img,Coin h-g x,Coin h-g y,Coin b-d x,Coin b-d y,Score,Classe
0228.jpg,375,225,450,300,0.9864949326130322,interdiction
0228.jpg,300,375,350,425,0.9708858228024722,interdiction
0228.jpg,275,200,325,250,0.967407579367588,interdiction
0229.jpg,450,475,550,575,0.9625209934689412,danger
0239.jpg,500,300,550,350,0.964508253166258,fvert
0239.jpg,175,375,225,500,0.9266349077744932,ceder
0239.jpg,100,250,150,375,0.9265201067552444,fvert
0239.jpg,619,338,731,450,0.925623631454042,interdiction
0248.jpg,225,187,375,337,0.9594367782163692,danger
0257.jpg,487,900,562,975,0.970580289235966,interdiction
0257.jpg,450,262,600,412,0.94458757884254,interdiction
0257.jpg,650,725,700,850,0.9061974581320544,interdiction
0263.jpg,550,825,600,875,0.9955937706584344,interdiction
0263.jpg,375,175,575,375,0.9889588974508716,ceder
0263.jpg,575,700,625,750,0.9830234999213724,interdiction
0263.jpg,225,575,275,625,0.9818265255062522,interdiction
0263.jpg,450,638,525,713,0.972930447836362,interdiction
0263.jpg,900,200,950,250,0.97219655389919,danger
0263.jpg,450,825,525,900,0.9713563980496512,danger
0263.jpg,713,225,788,300,0.9621320957739824,danger
0263.jpg,150,250,200,375,0.9429783263128988,danger
0263.jpg,100,75,150,125,0.9227478760736242,fvert
0263.jpg,225,725,275,850,0.9227027346037476,interdiction
0263.jpg,900,375,975,450,0.9223407060595504,interdiction
0263.jpg,0,575,50,625,0.9197420972133048,interdiction
0263.jpg,700,450,750,500,0.915756335315579,interdiction
0263.jpg,900,713,975,788,0.9120785151946048,danger
0263.jpg,638,563,713,638,0.9068312032859224,danger
0270.jpg,700,225,800,325,0.9938369314704496,interdiction
0270.jpg,500,275,550,400,0.9895449304473988,interdiction
0270.jpg,475,125,575,225,0.9422526614450036,interdiction
0270.jpg,600,187,675,262,0.9237711645868412,interdiction
0270.jpg,575,450,625,500,0.9221644544168304,interdiction
0272.jpg,400,325,600,525,0.9844020804141536,stop
0284.jpg,450,250,650,450,0.9826576440619748,stop
0291.jpg,225,337,300,412,0.9913976138230232,interdiction
0291.jpg,175,275,225,325,0.9859055772395426,interdiction
0291.jpg,275,450,325,500,0.9840450441337032,interdiction
0291.jpg,487,375,562,450,0.9730809059011172,interdiction
0291.jpg,350,700,400,750,0.9700696031332484,danger
0291.jpg,400,550,450,675,0.9612387471754612,interdiction
0291.jpg,225,507,337,619,0.9433255065034692,danger
0291.jpg,637,713,712,788,0.9406288705141354,danger
0291.jpg,500,525,550,575,0.9184651763648106,danger
0291.jpg,337,0,449,282,0.9011138205597188,danger
0297.jpg,375,262,450,337,0.917067297776231,danger
0325.jpg,325,125,375,175,0.9912329290106162,obligation
0325.jpg,112,376,187,451,0.9660306883888852,interdiction
0325.jpg,0,425,50,475,0.9582686136779602,ceder
0325.jpg,550,225,600,275,0.9367650517377932,interdiction
0342.jpg,600,300,675,375,0.956497505495588,fvert
0343.jpg,675,450,725,500,0.966428060673764,interdiction
0343.jpg,200,375,300,475,0.9212417341831768,danger
0358.jpg,325,0,525,500,0.9875444275243136,forange
0358.jpg,675,800,725,925,0.9846868098220498,fvert
0358.jpg,175,825,225,875,0.9535998317446598,danger
0358.jpg,350,550,550,750,0.9348763089638032,danger
0358.jpg,275,900,325,950,0.93483504500613,frouge
0358.jpg,50,300,250,500,0.9293690638084257,danger
0379.jpg,422,0,759,337,0.9409050099162396,danger
0385.jpg,550,350,600,400,0.9574951354323482,interdiction
0385.jpg,425,375,475,425,0.9187889708522006,interdiction
0395.jpg,225,750,275,875,0.9846661192604538,fvert
0395.jpg,225,150,525,450,0.9818384901484556,stop
0406.jpg,400,275,500,525,0.9847768988041896,fvert
0406.jpg,425,50,475,100,0.9061552727271516,forange
0419.jpg,150,300,200,350,0.9630201074079712,fvert
0419.jpg,475,250,525,375,0.9588528086014606,fvert
0419.jpg,200,100,300,200,0.9499435396756976,interdiction
0419.jpg,350,25,400,75,0.933931416783364,fvert
0422.jpg,150,300,225,487,0.9656250492596012,fvert
0444.jpg,112,150,412,900,0.9747180498557736,frouge
0444.jpg,450,250,500,300,0.959792555147274,interdiction
0444.jpg,422,0,590,169,0.9503719486671054,fvert
0444.jpg,575,650,625,775,0.9489816979337669,frouge
0479.jpg,281,225,506,450,0.9300814079247738,danger
0487.jpg,75,600,125,650,0.9204326675013096,frouge
0547.jpg,400,600,450,650,0.9825483514789544,interdiction
0547.jpg,175,225,225,275,0.9706998696646444,fvert
0547.jpg,325,475,375,525,0.9626971999687371,interdiction
0547.jpg,650,400,700,450,0.9508291617518052,interdiction
0547.jpg,475,700,525,750,0.9506679263817762,interdiction
0547.jpg,125,425,225,675,0.9501594737483618,fvert
0547.jpg,638,112,713,187,0.9336736363118824,fvert
0547.jpg,275,325,325,375,0.9280492820294086,interdiction
0547.jpg,50,175,100,225,0.9148759915856832,interdiction
0547.jpg,0,425,50,550,0.9055811960588048,fvert
0547.jpg,900,300,975,375,0.9039423129077296,fvert
0560.jpg,200,500,300,600,0.9450200113231684,danger
0560.jpg,375,400,475,500,0.9428458424659502,danger
0568.jpg,425,450,525,550,0.9946050172227212,obligation
0568.jpg,825,250,875,300,0.9623175630926166,danger
0568.jpg,225,75,300,150,0.9067118916070492,danger
0576.jpg,0,450,50,500,0.9739019715745564,fvert
0576.jpg,875,125,975,225,0.9332988205231146,danger
0576.jpg,300,488,450,638,0.9172907586134622,fvert
0585.jpg,487,900,562,975,0.9043596867250796,fvert
0587.jpg,450,526,525,601,0.9127812271559068,danger
0595.jpg,675,375,725,425,0.9275810484563644,danger
0652.jpg,325,800,425,900,0.9760734926869384,fvert
0652.jpg,300,187,450,337,0.932921791320933,danger
0652.jpg,412,563,487,638,0.9120978538919468,fvert
0656.jpg,150,337,225,412,0.9715649570342916,interdiction
0656.jpg,25,550,125,800,0.93983095394419,frouge
0656.jpg,675,325,725,375,0.924132059530053,danger
0680.jpg,575,300,625,350,0.9667968590374476,danger
0680.jpg,50,700,100,750,0.9513226436040724,danger
0680.jpg,380,382,633,637,0.9222825694348245,interdiction
0680.jpg,0,563,75,638,0.9017769315902148,danger
0698.jpg,127,256,381,512,0.9855368005588816,ceder
0709.jpg,325,325,425,425,0.9690084479969026,ceder
0710.jpg,337,563,412,638,0.963747690826677,obligation
0710.jpg,600,225,700,325,0.905779394070216,danger
0710.jpg,250,275,300,325,0.9000962399328905,danger
0733.jpg,325,25,375,75,0.9841368185007334,fvert
0733.jpg,675,775,725,825,0.9800797632473444,danger
0733.jpg,650,175,700,300,0.9769003104184704,danger
0733.jpg,400,250,500,500,0.972896969304706,danger
0733.jpg,175,75,225,125,0.9651814640236775,fvert
0733.jpg,100,0,150,50,0.9527745541288648,fvert
0733.jpg,600,412,675,487,0.9246767665969682,fvert
0733.jpg,200,775,250,825,0.9201279434765952,danger
0735.jpg,187,337,262,412,0.963429893734662,interdiction
0735.jpg,400,475,450,525,0.9331653583983992,ceder
0735.jpg,300,375,350,425,0.9217684908568444,interdiction
0744.jpg,675,412,750,487,0.9905233613628452,danger
0744.jpg,500,800,600,900,0.9710328792680324,fvert
0744.jpg,788,563,863,638,0.9543770476048188,obligation
0744.jpg,600,563,675,638,0.9450934242792424,obligation
0745.jpg,225,300,275,350,0.9924264965334998,obligation
0745.jpg,350,225,450,475,0.9917758885688752,obligation
0745.jpg,225,400,275,450,0.9899596870115668,obligation
0745.jpg,250,150,300,275,0.910912612484978,fvert
0748.jpg,450,475,500,525,0.9507244754638098,obligation
0748.jpg,475,600,525,650,0.9302935176239204,interdiction
0748.jpg,500,175,600,275,0.9024781707431108,interdiction
0757.jpg,25,725,75,850,0.9562755690672794,fvert
0757.jpg,300,375,450,525,0.945551869001222,danger
0810.jpg,281,677,393,789,0.916249501664327,fvert
0827.jpg,625,50,675,100,0.9586791007095004,interdiction
0831.jpg,475,200,525,250,0.9980409658241066,obligation
0831.jpg,350,300,450,400,0.9963150509919108,obligation
0831.jpg,675,175,725,225,0.9962434033624034,obligation
0831.jpg,700,275,750,400,0.9871640077777136,obligation
0831.jpg,506,56,618,168,0.9870516114231488,obligation
0831.jpg,525,300,575,350,0.9870035585541068,obligation
0831.jpg,375,200,425,250,0.9857345350868192,obligation
0831.jpg,400,125,450,175,0.9836977995903377,obligation
0831.jpg,487,412,562,487,0.9769374173417515,obligation
0831.jpg,600,200,650,250,0.970680068300572,obligation
0831.jpg,375,425,425,475,0.9582144016715788,obligation
0831.jpg,563,412,638,487,0.9536122505265257,obligation
0831.jpg,650,525,750,625,0.9486259779082904,interdiction
0831.jpg,625,100,675,150,0.944132030405742,obligation
0831.jpg,450,600,525,675,0.937173496537886,interdiction
0831.jpg,37,563,337,863,0.9239942481650956,danger
0831.jpg,788,600,938,750,0.9196357043655216,danger
0831.jpg,125,100,175,150,0.9144583643481932,danger
0831.jpg,300,500,350,550,0.9054018629865012,interdiction
0834.jpg,475,875,525,925,0.9781914115519637,danger
0834.jpg,253,255,506,510,0.9736853041702496,interdiction
0834.jpg,75,50,125,100,0.96247678077529,danger
0834.jpg,600,75,650,200,0.950362519959998,fvert
0839.jpg,525,350,575,400,0.9732882996432076,danger
0844.jpg,250,275,350,375,0.9890010553223928,frouge
0846.jpg,625,425,675,475,0.9924376372757676,fvert
0846.jpg,175,25,225,150,0.9820457585822768,fvert
0846.jpg,375,225,475,475,0.9819234997123144,frouge
0846.jpg,525,225,600,412,0.9786652949295324,fvert
0846.jpg,300,275,350,325,0.9729487653916136,fvert
0846.jpg,250,900,300,950,0.9691688651764236,interdiction
0846.jpg,225,450,300,525,0.932783380656202,danger
0846.jpg,168,620,393,845,0.9300594374611147,frouge
0846.jpg,675,0,725,50,0.9294959416717016,danger
0846.jpg,300,0,375,75,0.9216338544826836,fvert
0846.jpg,225,275,275,400,0.9195068562997336,fvert
0846.jpg,506,451,618,563,0.9080853433815405,interdiction
0846.jpg,100,600,150,650,0.9070627941431546,danger
0852.jpg,475,325,575,425,0.9896014640410432,obligation
0852.jpg,450,750,600,900,0.964933132703042,danger
0852.jpg,275,875,325,925,0.9610602230371424,interdiction
0852.jpg,375,775,425,900,0.9334943391455264,danger
0852.jpg,50,500,100,550,0.908571168041872,danger
0852.jpg,50,250,100,300,0.9024018320054912,frouge
0864.jpg,400,150,450,200,0.9244706086478918,interdiction
0864.jpg,507,225,619,337,0.9144226222155084,danger
0871.jpg,600,750,650,800,0.997363155753522,interdiction
0871.jpg,400,725,450,775,0.9836898780324652,interdiction
0871.jpg,575,650,625,700,0.9824762161580424,interdiction
0871.jpg,600,500,650,550,0.97879649170731,fvert
0871.jpg,375,75,675,375,0.9672289927123991,danger
0871.jpg,900,550,950,600,0.964249761316112,fvert
0871.jpg,200,750,250,875,0.9635052675403054,danger
0871.jpg,200,600,250,650,0.9620979417471114,fvert
0871.jpg,500,775,550,825,0.9611199381701718,danger
0871.jpg,725,125,775,250,0.9589289552693634,fvert
0871.jpg,800,450,850,500,0.9425744379790142,fvert
0871.jpg,775,725,825,850,0.9323967879015216,frouge
0871.jpg,75,625,125,750,0.9142957965365393,fvert
